id,name,team,position,price,form,ppg,ownership,minutes_pct,ict_index,bonus,xgi_per90,fdr,fixture_ease,status,score
367,Mamardashvili,LIV,GK,4.1,0.0,3.8,0.5,0.17857142857142858,13.9,0,0.0,2,4,a,16.8
316,Robinson,FUL,DEF,4.9,0.2,2.8,0.7,0.31785714285714284,43.4,4,0.14,2,4,a,16.7
671,Wilson,WHU,FWD,5.8,0.8,2.7,0.6,0.37023809523809526,69.7,7,0.6,3,3,a,16.6
19,Martinelli,ARS,MID,6.8,2.0,1.9,0.9,0.2845238095238095,58.7,1,0.54,3,3,a,16.5
677,Guessand,CRY,MID,6.2,2.2,2.2,0.1,0.2746031746031746,38.1,0,0.29,3,3,a,16.5
182,Trafford,MCI,GK,4.5,0.0,3.7,0.9,0.10714285714285714,10.1,0,0.0,2,4,a,16.5
332,Lukić,FUL,MID,4.9,0.0,2.6,0.1,0.4793650793650794,68.9,3,0.23,2,4,a,16.4
490,Joelinton,NEW,MID,5.9,1.0,2.9,0.3,0.5888888888888889,75.2,2,0.18,3,3,a,16.2
243,George,EVE,MID,4.8,0.8,1.1,0.1,0.09563492063492063,10.5,0,0.22,1,5,a,16.1
336,Reed,FUL,MID,4.3,0.2,2.4,0.4,0.009126984126984128,5.2,2,1.1,2,4,a,16.0
726,Kolo Muani,TOT,FWD,6.9,2.2,1.8,0.4,0.430952380952381,47.9,1,0.22,3,3,a,15.9
157,Mitoma,BHA,MID,6.1,2.0,2.8,2.0,0.5051587301587301,80.2,2,0.32,4,2,a,15.7
635,R.Gomes,WOL,DEF,4.4,2.0,2.1,0.1,0.22857142857142856,35.3,0,0.27,3,3,a,15.6
723,Canvot,CRY,DEF,4.5,1.0,3.2,0.0,0.17539682539682538,14.5,4,0.15,3,3,a,15.4
423,N.Gonzalez,MCI,MID,5.9,0.0,2.6,0.1,0.5436507936507936,52.8,1,0.11,2,4,a,15.3
338,Muniz,FUL,FWD,5.3,0.6,2.0,0.7,0.16587301587301587,25.4,3,0.24,2,4,a,15.3
728,Röhl,EVE,MID,5.0,0.0,1.6,0.0,0.14007936507936508,15.9,0,0.17,1,5,a,15.2
478,Trippier,NEW,DEF,4.9,1.0,2.6,1.4,0.5166666666666667,61.9,2,0.13,3,3,a,15.1
385,Chiesa,LIV,MID,6.3,0.8,1.6,0.3,0.1,27.7,0,0.6,2,4,a,15.1
665,Perri,LEE,GK,4.5,0.0,2.7,0.2,0.5714285714285714,32.2,3,0.0,2,4,a,15.1
560,Isidor,SUN,FWD,5.1,1.0,2.2,1.4,0.40555555555555556,56.8,7,0.33,3,3,a,15.1
145,De Cuyper,BHA,DEF,4.3,1.8,2.7,1.8,0.44841269841269843,66.6,6,0.29,4,2,a,15.1
707,Dibling,EVE,MID,5.3,0.2,1.3,0.0,0.1380952380952381,13.6,0,0.09,1,5,a,14.8
271,Kamada,CRY,MID,5.0,0.8,2.9,0.1,0.5138888888888888,50.6,0,0.24,3,3,a,14.7
584,Tel,TOT,MID,6.2,0.8,2.5,0.1,0.2496031746031746,49.9,5,0.35,3,3,a,14.7
376,Gomez,LIV,DEF,4.9,0.6,2.0,0.1,0.15198412698412697,16.3,2,0.19,2,4,a,14.7
424,Bobb,FUL,MID,5.1,0.6,1.8,0.2,0.2119047619047619,34.8,0,0.28,2,4,a,14.6
699,Douglas Luiz,AVL,MID,4.9,2.0,1.6,0.1,0.28095238095238095,45.0,0,0.22,3,3,a,14.6
456,Sancho,AVL,MID,5.8,2.0,1.5,0.2,0.2615079365079365,48.6,0,0.28,3,3,a,14.5
262,Chadi Riad,CRY,DEF,4.0,1.4,2.8,0.0,0.07539682539682539,7.1,0,0.06,3,3,a,14.5
